file,mjd,jd,ra,dec,x,y
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139071927-s0092-1-2-0289-s_ffic.fits,60814.31066130787,2460814.810661308,286.4217,-18.69532,555.0286125923566,25.389907987100926
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139072247-s0092-1-2-0289-s_ffic.fits,60814.312976273155,2460814.8129762732,286.42128,-18.69534,555.0314721358544,25.460281953766504
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139072607-s0092-1-2-0289-s_ffic.fits,60814.315291238425,2460814.8152912385,286.42087,-18.69536,555.0354282530249,25.53485279354789
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139072927-s0092-1-2-0289-s_ffic.fits,60814.31760620371,2460814.8176062037,286.42045,-18.69537,555.0394650076951,25.60495023949307
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139073247-s0092-1-2-0289-s_ffic.fits,60814.31992116898,2460814.819921169,286.42003,-18.69539,555.0450179039003,25.68376805440851
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139073607-s0092-1-2-0289-s_ffic.fits,60814.32223613426,2460814.822236134,286.41962,-18.69541,555.0467177224543,25.748911656322633
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139073927-s0092-1-2-0289-s_ffic.fits,60814.324551087964,2460814.824551088,286.4192,-18.69542,555.0502928313531,25.821307340452336
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139074247-s0092-1-2-0289-s_ffic.fits,60814.326866053234,2460814.826866053,286.41879,-18.69544,555.0548708384194,25.89437493641391
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139074607-s0092-1-2-0289-s_ffic.fits,60814.32918101852,2460814.8291810183,286.41837,-18.69545,555.0626645271655,25.974935057649994
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139074927-s0092-1-2-0289-s_ffic.fits,60814.3314959838,2460814.831495984,286.41795,-18.69547,555.0637743198704,26.042752524829027
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139075247-s0092-1-2-0289-s_ffic.fits,60814.33381094907,2460814.833810949,286.41754,-18.69549,555.0652480913882,26.11248669870853
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139075607-s0092-1-2-0289-s_ffic.fits,60814.33612591436,2460814.8361259145,286.41712,-18.6955,555.0778898229325,26.191539720290123
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139075927-s0092-1-2-0289-s_ffic.fits,60814.33844087963,2460814.8384408797,286.41671,-18.69552,555.0741258532637,26.259340034071208
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139080247-s0092-1-2-0289-s_ffic.fits,60814.34075584491,2460814.840755845,286.41629,-18.69554,555.0792010511794,26.333264359160346
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139080607-s0092-1-2-0289-s_ffic.fits,60814.343070804396,2460814.8430708046,286.41588,-18.69555,555.0891251246088,26.40549506598549
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139080927-s0092-1-2-0289-s_ffic.fits,60814.34538576389,2460814.845385764,286.41546,-18.69557,555.0888007707645,26.47462122571124
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139081247-s0092-1-2-0289-s_ffic.fits,60814.347700729166,2460814.847700729,286.41504,-18.69559,555.093739318467,26.55262749072562
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139081607-s0092-1-2-0289-s_ffic.fits,60814.35001569445,2460814.8500156943,286.41463,-18.6956,555.0980233746016,26.622333346615115
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139081927-s0092-1-2-0289-s_ffic.fits,60814.35233065972,2460814.8523306595,286.41421,-18.69562,555.097310288118,26.69329935464456
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139082247-s0092-1-2-0289-s_ffic.fits,60814.354645625004,2460814.854645625,286.4138,-18.69563,555.1080473492945,26.76828923000619
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139082607-s0092-1-2-0289-s_ffic.fits,60814.356960590274,2460814.8569605905,286.41338,-18.69565,555.110748118857,26.840208128296617
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139082927-s0092-1-2-0289-s_ffic.fits,60814.35927555556,2460814.8592755557,286.41296,-18.69567,555.1122260648632,26.912957337053413
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139083247-s0092-1-2-0289-s_ffic.fits,60814.36159051505,2460814.861590515,286.41255,-18.69568,555.1194637964979,26.985517841238902
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139083607-s0092-1-2-0289-s_ffic.fits,60814.36390547454,2460814.8639054745,286.41213,-18.6957,555.122181622066,27.058598797627113
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139083927-s0092-1-2-0289-s_ffic.fits,60814.36622043981,2460814.86622044,286.41172,-18.69572,555.1251412519862,27.13040373797643
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139084247-s0092-1-2-0289-s_ffic.fits,60814.3685354051,2460814.868535405,286.4113,-18.69573,555.1252708924244,27.20376090057566
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139084607-s0092-1-2-0289-s_ffic.fits,60814.37085037037,2460814.8708503703,286.41089,-18.69575,555.1346487987631,27.273289929475425
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139084927-s0092-1-2-0289-s_ffic.fits,60814.37316533565,2460814.8731653355,286.41047,-18.69576,555.140340023617,27.35240128658844
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139085247-s0092-1-2-0289-s_ffic.fits,60814.37548030092,2460814.8754803007,286.41005,-18.69578,555.14094126866,27.417975124742924
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139085607-s0092-1-2-0289-s_ffic.fits,60814.377795266206,2460814.877795266,286.40964,-18.6958,555.1518657532214,27.49306419467677
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139085927-s0092-1-2-0289-s_ffic.fits,60814.3801102257,2460814.8801102256,286.40922,-18.69581,555.1521533107143,27.563082261176383
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139090247-s0092-1-2-0289-s_ffic.fits,60814.38242518519,2460814.8824251853,286.40881,-18.69583,555.157833640478,27.63602924709499
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139090607-s0092-1-2-0289-s_ffic.fits,60814.38474015046,2460814.8847401505,286.40839,-18.69585,555.1586549673654,27.70970127137469
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139090927-s0092-1-2-0289-s_ffic.fits,60814.387055115745,2460814.887055116,286.40797,-18.69586,555.1632561139573,27.781646335511503
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139091247-s0092-1-2-0289-s_ffic.fits,60814.389370081015,2460814.889370081,286.40756,-18.69588,555.1652180425508,27.8499623107167
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139091607-s0092-1-2-0289-s_ffic.fits,60814.3916850463,2460814.8916850463,286.40714,-18.6959,555.1721340308295,27.926006609842723
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139091927-s0092-1-2-0289-s_ffic.fits,60814.39400001157,2460814.8940000115,286.40673,-18.69591,555.1755981574704,28.000654545071292
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139092247-s0092-1-2-0289-s_ffic.fits,60814.39631497685,2460814.8963149767,286.40631,-18.69593,555.1780917620864,28.070887492963607
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139092607-s0092-1-2-0289-s_ffic.fits,60814.39862994212,2460814.898629942,286.40589,-18.69594,555.1862127326856,28.144755835803714
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139092927-s0092-1-2-0289-s_ffic.fits,60814.400944901616,2460814.9009449016,286.40548,-18.69596,555.189969775598,28.215539664334116
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139093247-s0092-1-2-0289-s_ffic.fits,60814.40325986111,2460814.9032598613,286.40506,-18.69598,555.1889914004965,28.290477219372384
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139093607-s0092-1-2-0289-s_ffic.fits,60814.40557482639,2460814.9055748265,286.40465,-18.69599,555.1956443507503,28.358679653136136
